EAN,Merk,Product,Categorie,Volume,Aantal,Inkoopprijs,Minimaal,Maximaal,Winkelprijs,Winstlaag,Winsthoog,SKU,Notities
4013670000016,Aigner,N�1 Platinum,EDT,100 ml,1,16,35.95,41.95,71.43,3.521900826,7.835950413,AIG3202,ParfumMaster �43
4013670000023,Aigner,N�1 Platinum,EDT,50 ml,2,13,29.95,31.95,51.29,2.20785124,3.645867769,AIG3203,Beauty Bistro �33.23
4013670506150,Aigner,Starlight,EDP,100 ml,0,48.5,67.73,-6.326446281,28.54545455,AIG3200,,undefined,undefined
3423473922759,Ala�a Ala�a,Giftset,EDP,50 ml ,0,25.9,48.95,54.95,69.9,2.969008264,7.283057851,ALA8501,Los �50
3700753002272,Alexandre J,Mandarine Su,EDP,100 ml,0,34.31,64.95,74.95,104.95,6.063140496,13.25322314,ALE2101,Beautyvault �69.64
3700753000100,Alexandre J,Western Leat,EDP,100 ml,2,40.07,74.95,79.95,124.95,7.49322314,11.08826446,ALE2102,
3434730732332,Alyssa Ashley,Musk,EDT,50 ml,0,8,20.95,23.95,29.7,0.73677686,2.893801653,ALY2103,Sensa Parfums �21
3434730734138,Alyssa Ashley,Musk Parfum ,0,8,23.95,34.9,-14.32,2.893801653,ALY2101,Douglas �24.90,undefined,undefined,undefined
3495080793107,Alyssa Ashley,Ocean Blue,EDT,100 ml,0,7,20.95,23.95,36,1.73677686,3.893801653,ALY2102,Dropshipping �25.03
701666360001,Amouage,Beloved Woma,EDP,100 ml,0,80,187.95,392.74,-86.32644628,48.81115702,AMO4502,,undefined
701666263005,Amouage,Blossom Love,EDP,100 ml,0,123.28,187.95,192.95,326.38,5.531157025,9.126198347,AMO4508,
701666116912,Amouage,Fate Man,EDP,50 ml,2,78.03,139.95,149.95,242.08,16.26876033,23.45884298,AMO4509,Prijslimiet �149.95
701666116110,Amouage,Fate Woman,EDP,50 ml,2,78.03,169.95,179.95,257.53,37.83900826,45.02909091,AMO4510,
701666319924,Amouage,Figment Man,EDP,100 ml,0,113.24,169.95,189.95,298.74,2.629008264,17.00917355,AMO4516,Parfumeasy �150.11
701666319122,Amouage,Figment Woma,EDP,100 ml,0,70,169.95,179.95,295.78,45.86900826,53.05909091,AMO4505,
701666314929,Amouage,Honour Man,EDP,100 ml,0,80,167.95,275.38,-86.32644628,34.43099174,AMO4504,,undefined
701666314127,Amouage,Honour Woman,EDP,100 ml,0,90,193.95,290.68,-96.32644628,43.12520661,AMO4506,,undefined
701666320128,Amouage,Imitation Wo,EDP,100 ml,0,100.5,152.95,290.68,-106.8264463,3.145867769,AMO4517,Lagere bemiddeling,undefined
701666315926,Amouage,Interlude Ma,EDP,100 ml,0,118.21,184.95,189.95,285.58,8.444132231,12.03917355,AMO4511,
