EAN,Achter de schermen / factuur/ winkelmandje,Brand,Product,Type,,Volume,Inhoud,Aantal,Inkoop,Groothandel,Minimum,Maximum,Berekend,Store,Winstminimum,Winstmaximum,Winst,SKU,Clean,Notities
3700753000100,Alexandre J Western Leather EDP 100 ml,Alexandre J,Western Leather,EDP,,100 ml,,2,40.07,42.07,74.95,79.95,,124.95,16.62,20.75,,ALE2102,EU Clean,,80.14,0
701666360001,Amouage Beloved Woman EDP 100 ml,Amouage,Beloved Woman,EDP,,100 ml,,0,80.00,84.00,,187.95,,392.74,-85.26,70.07,,AMO4502,EU Clean,,0,0
701666263005,Amouage Blossom Love Woman EDP 100 ml,Amouage,Blossom Love Woman,EDP,,100 ml,,0,123.28,129.44,187.95,192.95,,326.38,26.79,30.93,,AMO4508,EU Clean,,0,0
701666116912,Amouage Fate Man EDP 50 ml,Amouage,Fate Man,EDP,,50 ml,,2,78.03,81.93,139.95,149.95,,242.08,32.37,40.64,,AMO4509,EU Clean,,156.06,0
701666116110,Amouage Fate Woman EDP 50 ml,Amouage,Fate Woman,EDP,,50 ml,,2,78.03,81.93,169.95,179.95,,257.53,57.17,65.43,,AMO4510,EU Clean,,156.06,0
701666319924,Amouage Figment Man EDP 100 ml,Amouage,Figment Man,EDP,,100 ml,,0,113.24,118.90,169.95,189.95,,298.74,21.96,38.49,,AMO4516,EU Clean,,0,0
701666319122,Amouage Figment Woman EDP 100 ml,Amouage,Figment Woman,EDP,,100 ml,,0,70.00,73.50,169.95,179.95,,295.78,65.20,73.46,,AMO4505,EU Clean,,0,0
701666314929,Amouage Honour Man EDP 100 ml,Amouage,Honour Man,EDP,,100 ml,,0,80.00,84.00,,167.95,,275.38,-85.26,53.55,,AMO4504,EU Clean,,0,0
701666314127,Amouage Honour Woman EDP 100 ml,Amouage,Honour Woman,EDP,,100 ml,,0,90.00,94.50,,193.95,,290.68,-95.26,65.03,,AMO4506,EU Clean,,0,0
701666320128,Amouage Imitation Woman EDP 100 ml,Amouage,Imitation Woman,EDP,,100 ml,,0,100.50,105.53,,152.95,,290.68,-105.76,20.65,,AMO4517,EU Clean,,0,0
701666315926,Amouage Interlude Man EDP 100 ml,Amouage,Interlude Man,EDP,,100 ml,,0,118.21,124.12,184.95,189.95,,285.58,29.39,33.52,,AMO4511,EU Clean,,0,0
